soma_joinid	collection_id	collection_name	collection_doi	dataset_id	dataset_title	dataset_h5ad_path	dataset_total_cell_count
83	5c868b6f-62c5-4532-9d7f-a346ad4b50a7	The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon	10.1016/j.immuni.2023.01.002	6cf3634d-e911-44ad-bf52-c747a9af3c01	colon stromal	6cf3634d-e911-44ad-bf52-c747a9af3c01.h5ad	39433
84	5c868b6f-62c5-4532-9d7f-a346ad4b50a7	The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon	10.1016/j.immuni.2023.01.002	5ce42b38-d867-487f-9b40-e8bb00b21d0b	colon epithelial	5ce42b38-d867-487f-9b40-e8bb00b21d0b.h5ad	97788
86	5c868b6f-62c5-4532-9d7f-a346ad4b50a7	The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon	10.1016/j.immuni.2023.01.002	0f4865d5-8000-4f68-8ac7-f5efea9e5e70	TI stromal	0f4865d5-8000-4f68-8ac7-f5efea9e5e70.h5ad	75695
87	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	f8c77961-67a7-4161-b8c2-61c3f917b54f	Amacrine cells of human eye	f8c77961-67a7-4161-b8c2-61c3f917b54f.h5ad	6101
90	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	d95ab381-2b7c-4885-b168-0097ed4e397f	Cone cells of human eye	d95ab381-2b7c-4885-b168-0097ed4e397f.h5ad	1378
91	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	cec9f9a5-8832-437d-99af-fb8237cde54b	Retinal ganglion cells of human eye	cec9f9a5-8832-437d-99af-fb8237cde54b.h5ad	1777
92	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	c3d381b2-3104-444e-8ad5-d3524407bbb6	Horizontal cells of human eye	c3d381b2-3104-444e-8ad5-d3524407bbb6.h5ad	1875
93	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	ab5b2256-b209-48b5-a801-c5d9a8c0de56	Non-neuronal cells of human eye	ab5b2256-b209-48b5-a801-c5d9a8c0de56.h5ad	8193
94	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	9cfee1e6-b24f-433d-a269-f01841655d6a	Retinal pigment epithelial cells of human eye	9cfee1e6-b24f-433d-a269-f01841655d6a.h5ad	1635
95	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	4e38f019-f8e8-44ae-ad32-ba500de6f64c	Bipolar cells of human eye	4e38f019-f8e8-44ae-ad32-ba500de6f64c.h5ad	16540
96	939769a8-d8d2-4d01-abfc-55699893fd49	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	10.1016/j.celrep.2019.12.082	389bfbb9-8ef1-4582-8c41-410131c3d0eb	Rod cells of human eye	389bfbb9-8ef1-4582-8c41-410131c3d0eb.h5ad	62509
97	10bf5c50-8d85-4c5f-94b4-22c1363d9f31	Intratumoral heterogeneity in recurrent pediatric pilocytic astrocytomas		be884a28-0eac-4eca-9c23-1294a93cf56e	Intratumoral heterogeneity in recurrent pediatric pilocytic astrocytomas	be884a28-0eac-4eca-9c23-1294a93cf56e.h5ad	35637
98	b3e2c6e3-9b05-4da9-8f42-da38a664b45b	Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression	10.1038/s41467-022-32972-z	e067e5ca-e53e-485f-aa8e-efd5435229c8	Human kidney cortex snRNA-seq data from donors with and without diabetic kidney disease	e067e5ca-e53e-485f-aa8e-efd5435229c8.h5ad	39176
99	a18474f4-ff1e-4864-af69-270b956cee5b	Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia	10.1158/2159-8290.cd-22-0824	faed4f71-6b50-4fc7-bd1c-8f385dccfdce	UMAP of Endothelial cells	faed4f71-6b50-4fc7-bd1c-8f385dccfdce.h5ad	3951
101	a18474f4-ff1e-4864-af69-270b956cee5b	Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia	10.1158/2159-8290.cd-22-0824	9b188f26-c8e1-4a78-af15-622a35a371fc	UMAP of Fibroblasts cells	9b188f26-c8e1-4a78-af15-622a35a371fc.h5ad	5754
102	a18474f4-ff1e-4864-af69-270b956cee5b	Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia	10.1158/2159-8290.cd-22-0824	94423ec1-21f8-40e8-b5c9-c3ea82350ca4	UMAP of Myeloid cells	94423ec1-21f8-40e8-b5c9-c3ea82350ca4.h5ad	3282
104	a18474f4-ff1e-4864-af69-270b956cee5b	Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia	10.1158/2159-8290.cd-22-0824	773b9b2e-70c8-40be-8cbb-e7b5abab360d	UMAP of Columnar cells	773b9b2e-70c8-40be-8cbb-e7b5abab360d.h5ad	79522
105	a18474f4-ff1e-4864-af69-270b956cee5b	Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia	10.1158/2159-8290.cd-22-0824	63bb6359-3945-4658-92eb-3072419953e4	UMAP of T-Cells cells	63bb6359-3945-4658-92eb-3072419953e4.h5ad	14970
106	a18474f4-ff1e-4864-af69-270b956cee5b	Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia	10.1158/2159-8290.cd-22-0824	03d5794d-cde9-4769-a1a9-b3899d2b1d87	UMAP of Plasma and B-Cells cells	03d5794d-cde9-4769-a1a9-b3899d2b1d87.h5ad	9015
107	3a2af25b-2338-4266-aad3-aa8d07473f50	Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics	10.1126/sciimmunol.abe6291	f54647ec-0c03-4775-8dac-5a477c10a3f5	Human tonsil T cells scRNA	f54647ec-0c03-4775-8dac-5a477c10a3f5.h5ad	8753
108	3a2af25b-2338-4266-aad3-aa8d07473f50	Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics	10.1126/sciimmunol.abe6291	7970bd6b-f752-47a9-8643-2af16855ec49	Human tonsil memory B cells scRNA	7970bd6b-f752-47a9-8643-2af16855ec49.h5ad	21595
109	3a2af25b-2338-4266-aad3-aa8d07473f50	Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics	10.1126/sciimmunol.abe6291	482954b2-0456-4901-b379-b62f99c0ab2d	Human tonsil B cells scRNA	482954b2-0456-4901-b379-b62f99c0ab2d.h5ad	25728
110	3a2af25b-2338-4266-aad3-aa8d07473f50	Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics	10.1126/sciimmunol.abe6291	44882825-0da1-4547-b721-2c6105d4a9d1	Human tonsil complete integrated cell set scRNA	44882825-0da1-4547-b721-2c6105d4a9d1.h5ad	32607
112	63d03351-06be-478e-a0db-f7a653b6b19b	Cell atlas of the human ocular anterior segment: Tissue-specific and shared cell types	10.1073/pnas.2200914119	d967b47c-a9e6-4337-b2f4-977f690cb67f	Trabecular Meshwork and Corneal Scleral wedge	d967b47c-a9e6-4337-b2f4-977f690cb67f.h5ad	52309
113	63d03351-06be-478e-a0db-f7a653b6b19b	Cell atlas of the human ocular anterior segment: Tissue-specific and shared cell types	10.1073/pnas.2200914119	a4157949-6f2a-40e2-b960-63f6e2bde918	Central Cornea	a4157949-6f2a-40e2-b960-63f6e2bde918.h5ad	37485
114	63d03351-06be-478e-a0db-f7a653b6b19b	Cell atlas of the human ocular anterior segment: Tissue-specific and shared cell types	10.1073/pnas.2200914119	9ff99bf8-2524-4ab5-ab6e-4bc218e4a449	Integrated data	9ff99bf8-2524-4ab5-ab6e-4bc218e4a449.h5ad	42901
115	63d03351-06be-478e-a0db-f7a653b6b19b	Cell atlas of the human ocular anterior segment: Tissue-specific and shared cell types	10.1073/pnas.2200914119	9a281de7-cee5-4e80-8584-1929f46f152f	Iris	9a281de7-cee5-4e80-8584-1929f46f152f.h5ad	57422
116	63d03351-06be-478e-a0db-f7a653b6b19b	Cell atlas of the human ocular anterior segment: Tissue-specific and shared cell types	10.1073/pnas.2200914119	489318a0-24c3-4f5c-b105-f084ed0ea026	Lens	489318a0-24c3-4f5c-b105-f084ed0ea026.h5ad	13900
117	63d03351-06be-478e-a0db-f7a653b6b19b	Cell atlas of the human ocular anterior segment: Tissue-specific and shared cell types	10.1073/pnas.2200914119	1196334f-a441-474a-95ee-400780941690	Ciliary Body	1196334f-a441-474a-95ee-400780941690.h5ad	34132
118	1d1c7275-476a-49e2-9022-ad1b1c793594	Cell Atlas of The Human Fovea and Peripheral Retina	10.1038/s41598-020-66092-9	d319af7f-be2e-441e-8caa-3b8a88480e89	Retinal ganglion cells of the human fovea and peripheral retina	d319af7f-be2e-441e-8caa-3b8a88480e89.h5ad	11404
119	1d1c7275-476a-49e2-9022-ad1b1c793594	Cell Atlas of The Human Fovea and Peripheral Retina	10.1038/s41598-020-66092-9	bc7260e0-54cf-4b0b-823d-93f5b850f757	Non-neuronal cells of the human fovea and peripheral retina	bc7260e0-54cf-4b0b-823d-93f5b850f757.h5ad	22125
120	1d1c7275-476a-49e2-9022-ad1b1c793594	Cell Atlas of The Human Fovea and Peripheral Retina	10.1038/s41598-020-66092-9	8623d55f-d91c-41c2-ae68-ed2072fd268d	Bipolar cells of the human fovea and peripheral retina	8623d55f-d91c-41c2-ae68-ed2072fd268d.h5ad	25908
121	1d1c7275-476a-49e2-9022-ad1b1c793594	Cell Atlas of The Human Fovea and Peripheral Retina	10.1038/s41598-020-66092-9	7b75b2c4-6d99-40be-9a61-391455d859e6	Photoreceptor cells of the human fovea and peripheral retina	7b75b2c4-6d99-40be-9a61-391455d859e6.h5ad	9070
122	1d1c7275-476a-49e2-9022-ad1b1c793594	Cell Atlas of The Human Fovea and Peripheral Retina	10.1038/s41598-020-66092-9	5cdbb2ea-c622-466d-9ead-7884ad8cb99f	Amacrine cells of the human fovea and peripheral retina	5cdbb2ea-c622-466d-9ead-7884ad8cb99f.h5ad	13607
123	1d1c7275-476a-49e2-9022-ad1b1c793594	Cell Atlas of The Human Fovea and Peripheral Retina	10.1038/s41598-020-66092-9	2f6a20f1-173d-4b8d-860b-c47ffea120fa	Horizontal cells of the human fovea and peripheral retina	2f6a20f1-173d-4b8d-860b-c47ffea120fa.h5ad	2868
124	bf325905-5e8e-42e3-933d-9a9053e9af80	Single-cell Atlas of common variable immunodeficiency shows germinal center-associated epigenetic dysregulation in B-cell responses	10.1038/s41467-022-29450-x	d7d7e89c-c93a-422d-8958-9b4a90b69558	Activated PBMCs - Twins scRNA-seq	d7d7e89c-c93a-422d-8958-9b4a90b69558.h5ad	16901
125	bf325905-5e8e-42e3-933d-9a9053e9af80	Single-cell Atlas of common variable immunodeficiency shows germinal center-associated epigenetic dysregulation in B-cell responses	10.1038/s41467-022-29450-x	a5d95a42-0137-496f-8a60-101e17f263c8	Steady-state B cells - scRNA-seq	a5d95a42-0137-496f-8a60-101e17f263c8.h5ad	1324
126	bf325905-5e8e-42e3-933d-9a9053e9af80	Single-cell Atlas of common variable immunodeficiency shows germinal center-associated epigenetic dysregulation in B-cell responses	10.1038/s41467-022-29450-x	3c75a463-6a87-4132-83a8-c3002624394d	Activated PBMCs - Expanded cohort CITE-seq	3c75a463-6a87-4132-83a8-c3002624394d.h5ad	95064
127	43b45a20-a969-49ac-a8e8-8c84b211bd01	Integrated adult and foetal heart single-cell RNA sequencing	10.1038/s44161-022-00183-w	5500c673-1610-40a0-86d9-64d987ae50e6	Integrated adult and foetal hearts	5500c673-1610-40a0-86d9-64d987ae50e6.h5ad	60668
128	03cdc7f4-bd08-49d0-a395-4487c0e5a168	Emphysema Cell Atlas	10.1016/j.immuni.2023.01.032	4b6af54a-4a21-46e0-bc8d-673c0561a836	non-immune cells	4b6af54a-4a21-46e0-bc8d-673c0561a836.h5ad	18386
129	03cdc7f4-bd08-49d0-a395-4487c0e5a168	Emphysema Cell Atlas	10.1016/j.immuni.2023.01.032	214bf9eb-93db-48c8-8e3c-9bb22fa3bc63	AT2 cells	214bf9eb-93db-48c8-8e3c-9bb22fa3bc63.h5ad	3662
130	03cdc7f4-bd08-49d0-a395-4487c0e5a168	Emphysema Cell Atlas	10.1016/j.immuni.2023.01.032	1e5bd3b8-6a0e-4959-8d69-cafed30fe814	immune cells	1e5bd3b8-6a0e-4959-8d69-cafed30fe814.h5ad	35699
131	33d19f34-87f5-455b-8ca5-9023a2e5453d	Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis	10.1016/j.cell.2019.06.029	4dd00779-7f73-4f50-89bb-e2d3c6b71b18	Intra- and Inter-cellular Rewiring of the Human Colon during Ulcerative Colitis	4dd00779-7f73-4f50-89bb-e2d3c6b71b18.h5ad	34772
133	64b24fda-6591-4ce1-89e7-33eb6c43ad7b	A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics	10.1016/j.jcmgh.2022.02.007	019c7af2-c827-4454-9970-44d5e39ce068	A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics	019c7af2-c827-4454-9970-44d5e39ce068.h5ad	12590
135	a98b828a-622a-483a-80e0-15703678befd	HCA kidney seed network: University of Michigan		0b4a15a7-4e9e-4555-9733-2423e5c66469	Single cell RNA-seq data from normal adult kidney tissue	0b4a15a7-4e9e-4555-9733-2423e5c66469.h5ad	48783
137	a9254216-6cd8-4186-b32c-349363777584	Single-cell reconstruction of the early maternal–fetal interface in humans	10.1038/s41586-018-0698-6	5bc42b88-bb76-4954-927b-8bb7369adc64	Pregnant Uterus (All)	5bc42b88-bb76-4954-927b-8bb7369adc64.h5ad	70325
138	283d65eb-dd53-496d-adb7-7570c7caa443	Transcriptomic diversity of cell types across the adult human brain	10.1101/2022.10.12.511898	ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded	Dissection: Cerebral cortex (Cx) - Cuneus, rostral part - Area Prostriata - Pro	ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded.h5ad	28051
139	283d65eb-dd53-496d-adb7-7570c7caa443	Transcriptomic diversity of cell types across the adult human brain	10.1101/2022.10.12.511898	fe1a73ab-a203-45fd-84e9-0f7fd19efcbd	Dissection: Amygdaloid complex (AMY) - basolateral nuclear group (BLN) - basolateral nucleus (basal nucleus) - BL	fe1a73ab-a203-45fd-84e9-0f7fd19efcbd.h5ad	35285
140	283d65eb-dd53-496d-adb7-7570c7caa443	Transcriptomic diversity of cell types across the adult human brain	10.1101/2022.10.12.511898	fbf173f9-f809-4d84-9b65-ae205d35b523	Dissection: Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - lateral posterior nucleus of thalamus + ventral posterior lateral nucleus - LP + VPL	fbf173f9-f809-4d84-9b65-ae205d35b523.h5ad	17660
141	283d65eb-dd53-496d-adb7-7570c7caa443	Transcriptomic diversity of cell types across the adult human brain	10.1101/2022.10.12.511898	fa554686-fc07-44dd-b2de-b726d82d26ec	Dissection: Cerebral cortex (Cx) - Superior occipital gyrus (SOG) - Areas 19 and MT - A19	fa554686-fc07-44dd-b2de-b726d82d26ec.h5ad	29674
142	283d65eb-dd53-496d-adb7-7570c7caa443	Transcriptomic diversity of cell types across the adult human brain	10.1101/2022.10.12.511898	f9034091-2e8f-4ac6-9874-e7b7eb566824	Dissection: Myelencephalon (medulla oblongata) (Mo) - medullary reticular formation (MoRF) & efferent nuclei of cranial nerves in the medulla oblongata (MoEN) - MoRF-MoEN	f9034091-2e8f-4ac6-9874-e7b7eb566824.h5ad	23120
143	283d65eb-dd53-496d-adb7-7570c7caa443	Transcriptomic diversity of cell types across the adult human brain	10.1101/2022.10.12.511898	f8dda921-5fb4-4c94-a654-c6fc346bfd6d	Dissection: Cerebral cortex (Cx) - Occipitotemporal (fusiform) gyrus, temporal part (FuGt) - Temporal area TF	f8dda921-5fb4-4c94-a654-c6fc346bfd6d.h5ad	31899
145	283d65eb-dd53-496d-adb7-7570c7caa443	Transcriptomic diversity of cell types across the adult human brain	10.1101/2022.10.12.511898	f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181	Dissection: Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - ventral posterior lateral nucleus - VPL	f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181.h5ad	6877
146	283d65eb-dd53-496d-adb7-7570c7caa443	Transcriptomic diversity of cell types across the adult human brain	10.1101/2022.10.12.511898	f5a04dff-d394-4023-8811-65494e8bb11d	Dissection: Basal nuclei (BN) - Putamen - Pu	f5a04dff-d394-4023-8811-65494e8bb11d.h5ad	34416
147	283d65eb-dd53-496d-adb7-7570c7caa443	Transcriptomic diversity of cell types across the adult human brain	10.1101/2022.10.12.511898	f502c312-05dc-4fd4-a762-92a63e92b539	Dissection: Paleocortex (PalCx) - Anterior Olfactory Nucleus - AON	f502c312-05dc-4fd4-a762-92a63e92b539.h5ad	31230
148	283d65eb-dd53-496d-adb7-7570c7caa443	Transcriptomic diversity of cell types across the adult human brain	10.1101/2022.10.12.511898	f3565fda-499a-4d20-bd92-563c09954c42	Dissection: Pons (Pn) - Pontine reticular formation (PnRF) - parabrachial nuclei - PB	f3565fda-499a-4d20-bd92-563c09954c42.h5ad	24155
